address,status,borough,longitude,latitude,spc_common,spc_latin
145-074 184 ST,Fair,Queens,-73.761579,40.6642,"maple, norway",acer platanoides
144-016 ROCKAWAY BEACH DR,Fair,Queens,-73.860171,40.570967,"ash, green",fraxinus pennsylvanica
148-016 ROCKAWAY BEACH AV,Fair,Queens,-73.863446,40.569624,"ash, green",fraxinus pennsylvanica
1710 UNDERCLIFF AV,Fair,Bronx,-73.921184,40.850203,"maple, red",acer rubrum
35-046 90 ST,Good,Queens,-73.877073,40.75161,"linden, little leaf",tilia cordata
725 BRADEY AV,Fair,Bronx,-73.866744,40.852392,"oak, northern red",quercus rubra
1781 80 ST,Good,Brooklyn,-73.999307,40.610771,london planetree,platanus acerifolia
29 HODGES PL,Good,Staten Island,-74.119369,40.614049,"maple, norway",acer platanoides
277 MIDLAND AV,Good,Staten Island,-74.101973,40.577755,london planetree,platanus acerifolia
90-028 188 ST,Fair,Queens,-73.77181,40.71249,"zelkova, japanese",zelkova serrata
141 E 48 ST,Fair,Manhattan,-73.972987,40.755121,"pear, callery",pyrus calleryana
65-012 69 PL,Fair,Queens,-73.886592,40.715304,"oak, pin",quercus palustris
370 OAKLAND AV,Fair,Staten Island,-74.110847,40.633041,"linden, little leaf",tilia cordata
240 Avenue U,Fair,Brooklyn,-73.975356,40.596779,"oak, pin",quercus palustris
1230 AMSTERDAM AV,Fair,Manhattan,-73.958946,40.809711,"pear, callery",pyrus calleryana
2355 ELY AV,Good,Bronx,-73.830604,40.860398,honeylocust,gleditsia triacanthos
16-084 LINDEN ST,Fair,Queens,-73.910647,40.702229,"maple, norway",acer platanoides
33-015 70 ST,Good,Queens,-73.896472,40.754108,london planetree,platanus acerifolia
13-070 EGGERT PL,Fair,Queens,-73.75863,40.609351,"maple, norway",acer platanoides
1043 REMSEN AV,Fair,Brooklyn,-73.909519,40.643419,"linden, little leaf",tilia cordata
311 BERTRAM AV,Good,Staten Island,-74.177426,40.527759,"maple, red",acer rubrum
115-103 225 ST,Fair,Queens,-73.73468,40.695854,"maple, norway",acer platanoides
646 LENOX AV,Fair,Manhattan,-73.937412,40.818829,honeylocust,gleditsia triacanthos
133-051 117 ST,Fair,Queens,-73.822457,40.671768,london planetree,platanus acerifolia
16 W CASTOR PL,Good,Staten Island,-74.200671,40.544906,"linden, little leaf",tilia cordata
2142 NEW YORK AV,Fair,Brooklyn,-73.942718,40.620199,"maple, norway",acer platanoides
24 SINGLETON ST,Good,Staten Island,-74.198146,40.522612,"maple, red",acer rubrum
162-003 88 ST,Fair,Queens,-73.843293,40.65344,london planetree,platanus acerifolia
1 PLEASANT PLAINS AV,Fair,Staten Island,-74.215687,40.523958,"maple, norway",acer platanoides
21-019 23 AV,Fair,Queens,-73.918796,40.77855,"maple, norway",acer platanoides
8682 25 AV,Fair,Brooklyn,-73.988896,40.596289,"maple, norway",acer platanoides
347 B 147 ST,Fair,Queens,-73.819098,40.788514,honeylocust,gleditsia triacanthos
219-005 82 AV,Fair,Queens,-73.75012,40.731771,london planetree,platanus acerifolia
117-043 196 ST,Fair,Queens,-73.755509,40.692314,"maple, norway",acer platanoides
843 SINCLAIR AV,Good,Staten Island,-74.204104,40.539802,"maple, silver",acer saccharinum
101-058 102 ST,Poor,Queens,-73.84019,40.684575,"maple, norway",acer platanoides
48-004 59 PL,Fair,Queens,-73.905535,40.738511,"maple, other",acer species
117-075 126 ST,Fair,Queens,-73.812211,40.673459,london planetree,platanus acerifolia
61-045 71 ST,Good,Queens,-73.886561,40.720419,"oak, willow",quercus phellos
16 MAPLE CT,Fair,Staten Island,-74.197854,40.551485,sweetgum,liquidambar styraciflua
360 72 ST,Poor,Brooklyn,-74.025162,40.633093,"maple, sugar",acer saccharum
115-056 147 ST,Fair,Queens,-73.795004,40.682864,"maple, norway",acer platanoides
45-025 163 ST,Poor,Queens,-73.803685,40.755661,"maple, silver",acer saccharinum
28-013 49 ST,Fair,Queens,-73.906681,40.761898,"maple, norway",acer platanoides
205-004 33 AV,Fair,Queens,-73.784018,40.76933,london planetree,platanus acerifolia
47-005 48 ST,Poor,Queens,-73.917266,40.740839,planting site,planting site
87-084 LEFFERTS BLVD,Fair,Queens,-73.82982,40.697738,"maple, norway",acer platanoides
139-060 85 DR,Fair,Queens,-73.814701,40.708948,london planetree,platanus acerifolia
133-006 140 ST,Fair,Queens,-73.829371,40.787545,hackberry,celtis occidentalis
485 STATE ST,Fair,Brooklyn,-73.979662,40.685725,honeylocust,gleditsia triacanthos
115-020 134 ST,Fair,Queens,-73.806987,40.68017,"maple, sugar",acer saccharum
86-021 102 RD,Poor,Queens,-73.852654,40.680865,"linden, little leaf",tilia cordata
64-070 214 ST,Fair,Queens,-73.761874,40.744015,"zelkova, japanese",zelkova serrata
40-042 192 ST,Fair,Queens,-73.789764,40.760362,"maple, silver",acer saccharinum
146-047 59 AV,Fair,Queens,-73.820827,40.74261,"maple, norway",acer platanoides
610 VICTORY BLVD,Poor,Staten Island,-74.090848,40.627572,"maple, norway",acer platanoides
42-011 NORTHERN BLVD,Fair,Queens,-73.921141,40.753136,"linden, little leaf",tilia cordata
137-043 134 AV,Fair,Queens,-73.799636,40.668494,"maple, norway",acer platanoides
33-019 BROADWAY,Good,Queens,-73.923634,40.761153,"pear, callery",pyrus calleryana
1187 LAKEWOOD PL,Poor,Bronx,-73.849857,40.851794,london planetree,platanus acerifolia
833 LONGFELLOW AV,Fair,Bronx,-73.885494,40.818041,"maple, red",acer rubrum
329 ASHLAND AV,Good,Staten Island,-74.203054,40.530205,sweetgum,liquidambar styraciflua
1781 PATTERSON AV,Good,Bronx,-73.862832,40.812676,"cherry, cornelian",cornus mas
1703 Avenue K,Fair,Brooklyn,-73.959013,40.623004,"maple, silver",acer saccharinum
2819 SCHLEY AV,Fair,Bronx,-73.823769,40.82328,"oak, pin",quercus palustris
151-017 12 RD,Poor,Queens,-73.811585,40.790384,planting site,planting site
34-078 112 ST,Fair,Queens,-73.856068,40.754933,tree of heaven,ailanthus altissima
2522 FOSTER AV,Fair,Brooklyn,-73.95295,40.638426,honeylocust,gleditsia triacanthos
112-003 QUEENS BLVD,Good,Queens,-73.83758,40.718606,ginkgo,ginkgo biloba
153-002 60 AV,Fair,Queens,-73.817132,40.740593,"pear, callery",pyrus calleryana
221 E 173 ST,Fair,Bronx,-73.908829,40.843746,"linden, little leaf",tilia cordata
803 ONDERDONK AV,Fair,Queens,-73.9045,40.702375,"maple, norway",acer platanoides
245 PARK AV,Fair,Manhattan,-73.975778,40.754777,"zelkova, japanese",zelkova serrata
15 COLLEGE PT BLVD,Fair,Queens,-73.845675,40.787521,"oak, pin",quercus palustris
67-014 215 ST,Good,Queens,-73.760575,40.743383,sweetgum,liquidambar styraciflua
129-027 134 ST,Fair,Queens,-73.804489,40.671791,london planetree,platanus acerifolia
117-033 135 ST,Fair,Queens,-73.804277,40.676729,"maple, norway",acer platanoides
28-074 208 ST,Poor,Queens,-73.782419,40.772962,"maple, norway",acer platanoides
70-015 71 PL,Fair,Queens,-73.880788,40.705981,"maple, norway",acer platanoides
831 SINCLAIR AV,Good,Staten Island,-74.203633,40.539937,"pear, callery",pyrus calleryana
92-041 242 ST,Poor,Queens,-73.726267,40.72564,"maple, norway",acer platanoides
203-006 104 AV,Fair,Queens,-73.755969,40.709473,"maple, norway",acer platanoides
43-042 45 ST,Fair,Queens,-73.91945,40.744243,london planetree,platanus acerifolia
82-057 256 ST,Fair,Queens,-73.712929,40.73925,london planetree,platanus acerifolia
11 GROVE ST,Fair,Queens,-73.905506,40.708436,"ash, green",fraxinus pennsylvanica
855 LEXINGTON AVE,Fair,Manhattan,-73.965636,40.765721,"linden, little leaf",tilia cordata
1112 E 94 ST,Fair,Brooklyn,-73.90419,40.643131,london planetree,platanus acerifolia
80-059 236 ST,Fair,Queens,-73.735434,40.736862,"maple, silver",acer saccharinum
66-001 77 PL,Good,Queens,-73.876251,40.715655,"maple, norway",acer platanoides
4546 HYLAN BLVD,Fair,Staten Island,-74.158296,40.530667,"linden, little leaf",tilia cordata
509 WINCHESTER AV,Fair,Staten Island,-74.162245,40.543762,"maple, red",acer rubrum
2685 E 7 ST,Fair,Brooklyn,-73.961668,40.585143,"oak, pin",quercus palustris
213 E 71 ST,Fair,Manhattan,-73.960802,40.768933,"pear, callery",pyrus calleryana
586 DEAN ST,Fair,Brooklyn,-73.970686,40.68076,"zelkova, japanese",zelkova serrata
130 FINLEY AV,Fair,Staten Island,-74.104443,40.563232,london planetree,platanus acerifolia
82-009 NORTHERN BLVD,Good,Queens,-73.885279,40.755566,"pear, callery",pyrus calleryana
163-041 95 ST,Fair,Queens,-73.836064,40.652029,"maple, silver",acer saccharinum
1543 ST NICHOLAS AV,Fair,Manhattan,-73.930938,40.85314,"pear, callery",pyrus calleryana
80-020 30 AV,Fair,Queens,-73.888059,40.761042,"maple, norway",acer platanoides
338 RICHARD AV,Poor,Staten Island,-74.224422,40.510208,london planetree,platanus acerifolia
1200 ROSEDALE AV,Fair,Bronx,-73.868724,40.829581,"linden, little leaf",tilia cordata
86-055 106 ST,Fair,Queens,-73.841628,40.696269,"maple, sugar",acer saccharum
683 18 ST,Fair,Brooklyn,-73.977254,40.653594,london planetree,platanus acerifolia
135 NANCY LA,Poor,Staten Island,-74.238107,40.509236,"pear, callery",pyrus calleryana
100 BOSCOMBE AV,Fair,Staten Island,-74.230428,40.524609,"maple, norway",acer platanoides
409 W 129 ST,Fair,Manhattan,-73.951833,40.813781,"zelkova, japanese",zelkova serrata
131-058 234 ST,Fair,Queens,-73.734813,40.676889,london planetree,platanus acerifolia
102-037 188 ST,Poor,Queens,-73.769476,40.707314,"maple, norway",acer platanoides
1463 E 3 ST,Fair,Brooklyn,-73.971982,40.614794,"ash, green",fraxinus pennsylvanica
496A COURT ST,Fair,Brooklyn,-73.998535,40.676888,ginkgo,ginkgo biloba
87-026 79 AV,Poor,Queens,-73.861726,40.704968,"maple, norway",acer platanoides
