address,status,spc_latin,spc_common,boroname,latitude,longitude
606 WYTHE AVENUE,Fair,gleditsia triacanthos,honeylocust,Brooklyn,40.70460528,-73.9660898
58-08 220 STREET,Poor,quercus rubra,"oak, northern red",Queens,40.75028557,-73.75871917
175 12 STREET,Fair,acer saccharinum,"maple, silver",Brooklyn,40.66929576,-73.99175945
71-67 CYPRESS HILLS STREET,Fair,acer saccharinum,"maple, silver",Queens,40.70127067,-73.89125255
33 8 AVENUE,Poor,tilia cordata,"linden, little leaf",Manhattan,40.73820879,-74.00409928
39-56 PACKARD STREET,Good,platanus acerifolia,london planetree,Queens,40.74899435,-73.9185028
33-60 191 STREET,Good,acer platanoides,"maple, norway",Queens,40.76650676,-73.79085497
243-05 NEWHALL AVENUE,Fair,ginkgo biloba,ginkgo,Queens,40.65842798,-73.74062304
14-52 165 STREET,Good,quercus palustris,"oak, pin",Queens,40.78749149,-73.79765394
217-42 53 AVENUE,Fair,acer platanoides,"maple, norway",Queens,40.75326883,-73.76253789
34 SOUTH RAILROAD AVENUE,Fair,quercus palustris,"oak, pin",Staten Island,40.59454917,-74.08807452
6052 68 ROAD,Fair,fraxinus pennsylvanica,"ash, green",Queens,40.70409542,-73.89764979
725 50 STREET,Good,tilia cordata,"linden, little leaf",Brooklyn,40.64209241,-74.00530769
1015 AMSTERDAM AVENUE,Poor,gleditsia triacanthos,honeylocust,Manhattan,40.80278421,-73.96398815
33-10 34 AVENUE,Fair,tilia cordata,"linden, little leaf",Queens,40.75881427,-73.92544295
86-08 155 AVENUE,Fair,platanus acerifolia,london planetree,Queens,40.66508717,-73.8483559
2250 BAISLEY AVENUE,Fair,crataegus species,"hawthorn, other",Bronx,40.83477576,-73.82991636
139-20 LAURELTON PARKWAY SR SOUTH,Fair,acer platanoides,"maple, norway",Queens,40.66752321,-73.74017674
1002 EAST  241 STREET,Fair,platanus acerifolia,london planetree,Bronx,40.90247435,-73.84253643
119-30 231 STREET,Fair,acer platanoides,"maple, norway",Queens,40.68831402,-73.73257755
305 MADISON AVENUE,Good,gleditsia triacanthos,honeylocust,Manhattan,40.75240839,-73.97956059
43 CHESTNUT STREET,Fair,acer saccharinum,"maple, silver",Brooklyn,40.68702954,-73.87640925
89-04 31 AVENUE,Fair,platanus acerifolia,london planetree,Queens,40.75992255,-73.87938556
2258 NEWBOLD AVENUE,Fair,acer saccharinum,"maple, silver",Bronx,40.83359188,-73.8496486
177 VASSAR STREET,Fair,acer saccharinum,"maple, silver",Staten Island,40.58638287,-74.1617659
3224 GLENNON PLACE,Good,gleditsia triacanthos,honeylocust,Bronx,40.81556695,-73.80215313
1246 EAST   69 STREET,Fair,platanus acerifolia,london planetree,Brooklyn,40.62452476,-73.91513887
217-58 53 AVENUE,Fair,acer platanoides,"maple, norway",Queens,40.75327155,-73.76252705
37 MULBERRY CIRCLE,Good,platanus acerifolia,london planetree,Staten Island,40.59882879,-74.16683745
2270 2 AVENUE,Good,gleditsia triacanthos,honeylocust,Manhattan,40.79736578,-73.93749906
1465 EAST   64 STREET,Good,platanus acerifolia,london planetree,Brooklyn,40.61878533,-73.91504891
150-13 120 AVENUE,Fair,acer platanoides,"maple, norway",Queens,40.67804846,-73.79086199
1420 HARROD AVENUE,Fair,platanus acerifolia,london planetree,Bronx,40.83470342,-73.87487373
211-15 32 AVENUE,Fair,carya,hickory,Queens,40.7731511,-73.77730223
67-15 186 LANE,Fair,quercus rubra,"oak, northern red",Queens,40.73636012,-73.78582923
9925 AVENUE K,Fair,platanus acerifolia,london planetree,Brooklyn,40.64157539,-73.89516573
212-19 NORTHERN BOULEVARD,Fair,quercus alba,"oak, white",Queens,40.7599336,-73.77092114
2735 GUNTHER AVENUE,Fair,prunus cerasifera,"plum, purpleleaf",Bronx,40.86632175,-73.83695297
1340 RALPH AVENUE,Fair,quercus palustris,"oak, pin",Brooklyn,40.6445981,-73.91994918
143-11 ROOSEVELT AVENUE,Good,quercus palustris,"oak, pin",Queens,40.76123393,-73.82355805
149 BAY   20 STREET,Fair,tilia americana,"linden, american",Brooklyn,40.60351442,-74.00416663
150 NELSON AVENUE,Fair,acer rubrum,"maple, red",Staten Island,40.54599911,-74.1491286
58-01 81 STREET,Good,quercus palustris,"oak, pin",Queens,40.72712588,-73.87974077
61-22 BORDEN AVENUE,Fair,gleditsia triacanthos,honeylocust,Queens,40.72573784,-73.90399162
577 MACON STREET,Fair,platanus acerifolia,london planetree,Brooklyn,40.68356017,-73.92815194
839 EAST  226 STREET,Fair,tilia americana,"linden, american",Bronx,40.88721772,-73.85597936
2322 3 AVENUE,Fair,gleditsia triacanthos,honeylocust,Manhattan,40.8044679,-73.93526733
3866 LACONIA AVENUE,Fair,cornus florida,"dogwood, flowering",Bronx,40.88176583,-73.85092109
609 WILCOX AVENUE,Fair,pyrus calleryana,"pear, callery",Bronx,40.82766707,-73.81454356
244-32 137 AVENUE,Fair,acer platanoides,"maple, norway",Queens,40.66837285,-73.73244843
629 ALBANY AVENUE,Good,platanus acerifolia,london planetree,Brooklyn,40.65898728,-73.93960744
375 BLAKE AVENUE,Fair,platanus acerifolia,london planetree,Brooklyn,40.66627086,-73.90542535
196 BERGEN STREET,Fair,platanus acerifolia,london planetree,Brooklyn,40.68489099,-73.9857974
59-03 69 AVENUE,Good,acer rubrum,"maple, red",Queens,40.70184444,-73.90047358
4209 RICHMOND AVENUE,Fair,acer saccharinum,"maple, silver",Staten Island,40.5361672,-74.15733801
2865 UNIVERSITY AVENUE,Fair,quercus palustris,"oak, pin",Bronx,40.87276029,-73.89882928
337 MASON BOULEVARD,Fair,acer saccharinum,"maple, silver",Staten Island,40.54313096,-74.21773955
141-05 PERSHING CRESCENT,Fair,platanus acerifolia,london planetree,Queens,40.71205256,-73.81603755
1020 BUSHWICK AVENUE,Fair,gleditsia triacanthos,honeylocust,Brooklyn,40.69149383,-73.92167063
11-14 123 STREET,Fair,platanus acerifolia,london planetree,Queens,40.78747118,-73.8447043
100 75 ROAD,Fair,acer platanoides,"maple, norway",Queens,40.71266364,-73.84117406
223-03 57 AVENUE,Poor,acer platanoides,"maple, norway",Queens,40.75253049,-73.75597158
1348 SHERIDAN AVENUE,Fair,gleditsia triacanthos,honeylocust,Bronx,40.83749996,-73.91339635
9029 205 STREET,Good,quercus palustris,"oak, pin",Queens,40.71747298,-73.75791807
