address,status,spc_latin,spc_common,boroname,latitude,longitude
792 LENOX ROAD,Poor,robinia pseudoacacia,black locust,Brooklyn,40.65535071,-73.93035916
1902 AVENUE K,Good,zelkova serrata,"zelkova, japanese",Brooklyn,40.62322228,-73.95694527
144-01 NEGUNDO AVENUE,Good,acer rubrum,"maple, red",Queens,40.75044451,-73.81323547
32-60 41 STREET,Fair,ginkgo biloba,ginkgo,Queens,40.75818928,-73.9185457
188-49 71 CRESCENT,Fair,platanus acerifolia,london planetree,Queens,40.73475451,-73.78148995
3699 BAINBRIDGE AVENUE,Fair,pyrus calleryana,"pear, callery",Bronx,40.88645517,-73.87781063
1625 EMMONS AVENUE,Fair,populus deltoides,"cottonwood, eastern",Brooklyn,40.58330824,-73.95200999
32-11 147 PLACE,Fair,tilia tomentosa,"linden, silver",Queens,40.76985392,-73.81920292
227-16 108 AVENUE,Fair,tilia cordata,"linden, little leaf",Queens,40.70720894,-73.72899228
1409 PELHAM PARKWAY NORTH,Fair,quercus palustris,"oak, pin",Bronx,40.8586052,-73.84607822
28-10 29 STREET,Fair,quercus palustris,"oak, pin",Queens,40.7690282,-73.92240979
35 LANDIS AVENUE,Poor,acer platanoides,"maple, norway",Staten Island,40.60075467,-74.06867282
812 FAILE STREET,Fair,pyrus calleryana,"pear, callery",Bronx,40.81725149,-73.88719371
7332 194 STREET,Good,fraxinus pennsylvanica,"ash, green",Queens,40.7341998,-73.77847522
2044 STRAUSS STREET,Good,quercus palustris,"oak, pin",Brooklyn,40.66404143,-73.91512824
83-18 HOMELAWN STREET,Fair,pyrus calleryana,"pear, callery",Queens,40.71740831,-73.7922572
1488 PITKIN AVENUE,Fair,pyrus calleryana,"pear, callery",Brooklyn,40.66848785,-73.91874897
42-32 172 STREET,Fair,acer platanoides,"maple, norway",Queens,40.75799832,-73.79405814
5410 14 AVENUE,Fair,acer platanoides,"maple, norway",Brooklyn,40.6307783,-73.9929639
1030 BROOKLYN AVENUE,Fair,tilia cordata,"linden, little leaf",Brooklyn,40.64825991,-73.94350549
1483 EAST   86 STREET,Fair,prunus species,"cherry, other",Brooklyn,40.62894952,-73.8984027
35 CENTRAL PARK NORTH,Fair,ginkgo biloba,ginkgo,Manhattan,40.79753139,-73.9507287
246-51 86 AVENUE,Poor,acer platanoides,"maple, norway",Queens,40.73152498,-73.71985851
387 EAST  155 STREET,Fair,tilia cordata,"linden, little leaf",Bronx,40.8203478,-73.91653306
133-26 114 PLACE,Fair,fraxinus pennsylvanica,"ash, green",Queens,40.67287941,-73.82501389
11164 166 STREET,Fair,gleditsia triacanthos,honeylocust,Queens,40.691494,-73.78429656
137-59 232 STREET,Fair,liquidambar styraciflua,sweetgum,Queens,40.67082313,-73.74048111
2990 BOSTON ROAD,Good,tilia cordata,"linden, little leaf",Bronx,40.86940116,-73.85758352
668 CRAIG AVENUE,Good,acer saccharinum,"maple, silver",Staten Island,40.50618904,-74.25226681
1901 10 AVENUE,Good,zelkova serrata,"zelkova, japanese",Brooklyn,40.65574082,-73.98129854
1242 64 STREET,Fair,zelkova serrata,"zelkova, japanese",Brooklyn,40.62730908,-74.00211108
189 DOWNES AVENUE,Fair,pyrus calleryana,"pear, callery",Staten Island,40.53711456,-74.18471131
225 WEST   70 STREET,Fair,pyrus calleryana,"pear, callery",Manhattan,40.77768809,-73.98349929
268 ARDSLEY STREET,Fair,pyrus calleryana,"pear, callery",Staten Island,40.57110454,-74.13927883
1005 JEROME AVENUE,Fair,platanus acerifolia,london planetree,Bronx,40.83203023,-73.92590295
5902 14 AVENUE,Fair,betula species,"birch, other",Brooklyn,40.62800621,-73.99584985
156 MONTAGUE STREET,Good,ginkgo biloba,ginkgo,Brooklyn,40.69444071,-73.99305455
7849 221 STREET,Good,acer platanoides,"maple, norway",Queens,40.7360379,-73.74989045
136 JEFFERSON BOULEVARD,Fair,fraxinus pennsylvanica,"ash, green",Staten Island,40.54363009,-74.17994755
85-65 66 ROAD,Fair,zelkova serrata,"zelkova, japanese",Queens,40.71863102,-73.86044174
83 HOME PLACE,Fair,platanus acerifolia,london planetree,Staten Island,40.61830165,-74.14787813
510 FAILE STREET,Fair,gleditsia triacanthos,honeylocust,Bronx,40.81075031,-73.88548881
516 SENECA AVENUE,Fair,styphnolobium japonicum,japanese pagoda tree,Queens,40.70526822,-73.91186576
87-37 LITTLE NECK PARKWAY,Fair,acer rubrum,"maple, red",Queens,40.73006144,-73.71074339
610 5 AVENUE,Good,gleditsia triacanthos,honeylocust,Manhattan,40.75801005,-73.97759526
7085 72 STREET,Fair,platanus acerifolia,london planetree,Brooklyn,40.63578805,-74.03652058
2605 FLATBUSH AVENUE EXTENSION,Poor,acer platanoides,"maple, norway",Brooklyn,40.69368495,-73.98333916
1400 GREENE AVENUE,Fair,prunus virginiana           shubert,"chokecherry, shubert",Brooklyn,40.70013142,-73.91746617
309 EAST MOSHOLU PARKWAY NORTH,Good,tilia tomentosa,"linden, silver",Bronx,40.87253425,-73.880577
1182 WILLOWBROOK ROAD,Good,acer platanoides,"maple, norway",Staten Island,40.60358263,-74.1333325
720 AVENUE I,Fair,ulmus parvifolia,"elm, chinese",Brooklyn,40.62675054,-73.9692347
5850 AMBOY ROAD,Poor,acer rubrum,"maple, red",Staten Island,40.52599012,-74.20242852
8952 70 ROAD,Fair,quercus palustris,"oak, pin",Queens,40.71135042,-73.85263685
101-70 LEFFERTS BOULEVARD,Fair,ginkgo biloba,ginkgo,Queens,40.68956888,-73.82581747
1868 NARRAGANSETT AVENUE,Fair,pyrus calleryana,"pear, callery",Bronx,40.85356487,-73.8494444
146-01 23 AVENUE,Fair,cornus florida,"dogwood, flowering",Queens,40.77831104,-73.82132472
129 78 STREET,Fair,platanus acerifolia,london planetree,Brooklyn,40.63035105,-74.0331015
746 TAYLOR AVENUE,Good,zelkova serrata,"zelkova, japanese",Bronx,40.82027157,-73.86269986
215-63 SPENCER AVENUE,Fair,acer platanoides,"maple, norway",Queens,40.72835049,-73.75020434
750 ARMSTRONG AVENUE,Fair,platanus acerifolia,london planetree,Staten Island,40.55276142,-74.1600004
172-28 83 AVENUE,Fair,platanus acerifolia,london planetree,Queens,40.71775048,-73.79326261
21 EAST  104 STREET,Fair,gleditsia triacanthos,honeylocust,Manhattan,40.79262951,-73.95123071
120-09 FARMERS BOULEVARD,Fair,tilia cordata,"linden, little leaf",Queens,40.68635393,-73.76113197
958 SCHENECTADY AVENUE,Poor,acer pseudoplatanus,"maple, sycamore",Brooklyn,40.64965416,-73.93309674
61 BAY   35 STREET,Fair,acer platanoides,"maple, norway",Brooklyn,40.59857078,-73.99130365
25804 87 ROAD,Fair,acer saccharinum,"maple, silver",Queens,40.72953934,-73.70724944
4615 DELAFIELD AVENUE,Fair,tilia americana,"linden, american",Bronx,40.89429373,-73.9069673
161-43 89 STREET,Poor,acer platanoides,"maple, norway",Queens,40.65445985,-73.84258483
21806 103 AVENUE,Good,platanus acerifolia,london planetree,Queens,40.7134071,-73.73868846
35-50 85 STREET,Fair,acer platanoides,"maple, norway",Queens,40.75171006,-73.88183668
143-39 95 AVENUE,Fair,acer saccharum,"maple, sugar",Queens,40.6976306,-73.80873125
240 WEST   16 STREET,Fair,styphnolobium japonicum,japanese pagoda tree,Manhattan,40.74039643,-73.9999567
161 COLLFIELD AVENUE,Poor,betula species,"birch, other",Staten Island,40.61758576,-74.14314351
679 OCEAN PARKWAY,Fair,zelkova serrata,"zelkova, japanese",Brooklyn,40.63190313,-73.97164258
4110 4 AVENUE,Fair,acer rubrum,"maple, red",Brooklyn,40.65139436,-74.00747073
1430 74 STREET,Good,tilia cordata,"linden, little leaf",Brooklyn,40.61908565,-74.0038038
551 IONIA AVENUE,Good,quercus rubra,"oak, northern red",Staten Island,40.5388332,-74.19118124
9502 KINGS HIGHWAY,Fair,quercus palustris,"oak, pin",Brooklyn,40.65917591,-73.92032095
2243 23 ROAD,Fair,tilia americana,"linden, american",Queens,40.7699783,-73.90913775
104-74 128 STREET,Fair,cercidiphyllum japonicum,katsura tree,Queens,40.68855313,-73.81685961
1720 SUMMERFIELD STREET,Good,acer platanoides,"maple, norway",Queens,40.69707102,-73.90016335
249-20 ELKMONT AVENUE,Poor,acer platanoides,"maple, norway",Queens,40.74531434,-73.72198393
234 BERGEN STREET,Fair,platanus acerifolia,london planetree,Brooklyn,40.68450385,-73.98480594
107-11 107 STREET,Fair,acer saccharinum,"maple, silver",Queens,40.68108241,-73.83349038
2903 HEALY AVENUE,Fair,acer platanoides,"maple, norway",Queens,40.60400425,-73.76629553
58 BERKELEY PLACE,Good,acer platanoides,"maple, norway",Brooklyn,40.67642771,-73.97846628
61-11 QUEENS BOULEVARD,Fair,ulmus species,"elm, other",Queens,40.74140453,-73.90353239
311 15 STREET,Good,pyrus calleryana,"pear, callery",Brooklyn,40.66388522,-73.98581269
863 WOODWARD AVENUE,Fair,quercus palustris,"oak, pin",Queens,40.70287524,-73.90223928
85-31 259 STREET,Fair,platanus acerifolia,london planetree,Queens,40.73439723,-73.70819513
48-47 187 STREET,Fair,platanus acerifolia,london planetree,Queens,40.74826582,-73.79122983
2217 EAST   13 STREET,Fair,prunus species,"cherry, other",Brooklyn,40.59591186,-73.95772625
225 EAST   46 STREET,Fair,styphnolobium japonicum,japanese pagoda tree,Manhattan,40.75302433,-73.97186172
117-17 150 AVENUE,Good,acer platanoides,"maple, norway",Queens,40.66720932,-73.82362654
8540 87 STREET,Fair,acer platanoides,"maple, norway",Queens,40.69495709,-73.85794533
1000 VAN SICLEN AVENUE,Poor,platanus acerifolia,london planetree,Brooklyn,40.65554496,-73.88238183
170 RAMONA AVENUE,Fair,pyrus calleryana,"pear, callery",Staten Island,40.54027662,-74.19139404
8 CARMEL COURT,Fair,malus species,crabapple,Staten Island,40.59583556,-74.08927169
772 LAMONT AVENUE,Good,quercus palustris,"oak, pin",Staten Island,40.53740913,-74.19896975
85-03 COMMONWEALTH BOULEVARD,Fair,acer pseudoplatanus,"maple, sycamore",Queens,40.73278505,-73.72108002
40-30 CASE STREET,Good,gleditsia triacanthos,honeylocust,Queens,40.7480014,-73.87612652
5115 52 STREET,Good,pyrus calleryana,"pear, callery",Brooklyn,40.63205606,-73.99172921
163-64 SAYRES AVENUE,Fair,tilia tomentosa,"linden, silver",Queens,40.68977027,-73.78576253
86 EMERSON COURT,Fair,platanus acerifolia,london planetree,Staten Island,40.60358856,-74.10051435
8054 HARBOR VIEW TERRACE,Good,platanus acerifolia,london planetree,Brooklyn,40.62898791,-74.03864165
538 CLAREMONT PARKWAY,Fair,robinia pseudoacacia,black locust,Bronx,40.83803054,-73.90082277
2202 75 STREET,Fair,acer pseudoplatanus,"maple, sycamore",Queens,40.76819615,-73.89430576
40-11 220 STREET,Fair,tilia americana,"linden, american",Queens,40.76540192,-73.76315887
124-23 HILLSIDE AVENUE,Fair,acer platanoides,"maple, norway",Queens,40.70259157,-73.82680412
777 WEST END AVENUE,Fair,gleditsia triacanthos,honeylocust,Manhattan,40.7966411,-73.97246811
8814 BAY PARKWAY,Fair,quercus palustris,"oak, pin",Brooklyn,40.59768453,-73.99825355
2622 86 STREET,Good,platanus acerifolia,london planetree,Brooklyn,40.59638798,-73.98468196
624 WEST  207 STREET,Fair,zelkova serrata,"zelkova, japanese",Manhattan,40.86803232,-73.92144461
50-54 HORATIO PARKWAY,Fair,acer pseudoplatanus,"maple, sycamore",Queens,40.75805705,-73.75275321
3211 54 STREET,Good,acer platanoides,"maple, norway",Queens,40.7548731,-73.90697433
125-01 ROCKAWAY BOULEVARD,Fair,fraxinus pennsylvanica,"ash, green",Queens,40.6753825,-73.81271383
51-52 65 STREET,Fair,gleditsia triacanthos,honeylocust,Queens,40.73496866,-73.900987
1901 NOSTRAND AVENUE,Fair,quercus palustris,"oak, pin",Brooklyn,40.63927849,-73.94832693
450 EAST  142 STREET,Fair,ginkgo biloba,ginkgo,Bronx,40.81098763,-73.91943838
112-14 107 AVENUE,Fair,acer platanoides,"maple, norway",Queens,40.68275284,-73.82897209
53 WILLIAMSBURG ST WEST,Fair,platanus acerifolia,london planetree,Brooklyn,40.70570398,-73.95906449
61-34 82 STREET,Fair,styphnolobium japonicum,japanese pagoda tree,Queens,40.72502048,-73.8769846
652 JEWETT AVENUE,Fair,ulmus americana,"elm, american",Staten Island,40.62085741,-74.13178925
34-11 106 STREET,Good,prunus species,"cherry, other",Queens,40.75576997,-73.86243216
322 HICKS STREET,Fair,gymnocladus dioicus,kentucky coffeetree,Brooklyn,40.69158084,-73.99762365
210 BRYANT AVENUE,Fair,platanus acerifolia,london planetree,Staten Island,40.57532832,-74.10926954
65-35 YELLOWSTONE BOULEVARD,Good,ginkgo biloba,ginkgo,Queens,40.73013308,-73.85070468
2105 AMORY COURT,Fair,gleditsia triacanthos,honeylocust,Queens,40.71187368,-73.91033122
1426 EAST   17 STREET,Good,tilia tomentosa,"linden, silver",Brooklyn,40.61516106,-73.95757719
1707 CENTRE STREET,Fair,pyrus calleryana,"pear, callery",Queens,40.69866279,-73.90315065
45-56 160 STREET,Good,acer saccharinum,"maple, silver",Queens,40.754924,-73.80661404
92-38 176 STREET,Good,pyrus calleryana,"pear, callery",Queens,40.70742527,-73.78461651
987 EAST   95 STREET,Good,platanus acerifolia,london planetree,Brooklyn,40.64602321,-73.90617115
93 SOUTH   10 STREET,Fair,tilia cordata,"linden, little leaf",Brooklyn,40.70810455,-73.96506005
114-30 ROCKAWAY BOULEVARD,Fair,ginkgo biloba,ginkgo,Queens,40.67686008,-73.82370196
67-30 JUNO STREET,Good,tilia tomentosa,"linden, silver",Queens,40.71649529,-73.85574223
66-61 FRESH POND ROAD,Fair,gleditsia triacanthos,honeylocust,Queens,40.70700719,-73.89717643
63 EAST   58 STREET,Good,quercus palustris,"oak, pin",Brooklyn,40.65372923,-73.9228322
100 FREEMAN STREET,Fair,quercus robur,"oak, english",Brooklyn,40.73420466,-73.95748336
110-26 177 STREET,Good,quercus palustris,"oak, pin",Queens,40.69782629,-73.77714272
2522 AVENUE I,Good,prunus cerasifera,"plum, purpleleaf",Brooklyn,40.62867138,-73.95176842
460 BEACH  143 STREET,Fair,gleditsia triacanthos,honeylocust,Queens,40.57536533,-73.86142503
212-01 15 AVENUE,Good,quercus palustris,"oak, pin",Queens,40.78569425,-73.78142749
2064 EAST   35 STREET,Poor,acer platanoides,"maple, norway",Brooklyn,40.60826972,-73.93098811
146-47 24 AVENUE,Good,zelkova serrata,"zelkova, japanese",Queens,40.77759932,-73.82079225
233 87 STREET,Fair,platanus acerifolia,london planetree,Brooklyn,40.62313776,-74.0330547
16328 88 STREET,Poor,acer platanoides,"maple, norway",Queens,40.65137499,-73.84279032
991 5 AVENUE,Good,gleditsia triacanthos,honeylocust,Manhattan,40.77776846,-73.96314956
1060 HUNTINGTON AVENUE,Good,ginkgo biloba,ginkgo,Bronx,40.82953838,-73.83207457
544 MOSEL AVENUE,Good,acer palmatum,"maple, japanese",Staten Island,40.60444661,-74.08482841
3203 SCHLEY AVENUE,Fair,pyrus calleryana,"pear, callery",Bronx,40.82699785,-73.81484895
396 LOUISIANA AVENUE,Fair,platanus acerifolia,london planetree,Brooklyn,40.65146587,-73.89037151
2413 MERMAID AVENUE,Fair,ailanthus altissima,tree of heaven,Brooklyn,40.57590697,-73.99138579
357 GRAHAM AVENUE,Good,platanus acerifolia,london planetree,Brooklyn,40.7151258,-73.94449132
602 WEST  147 STREET,Fair,quercus palustris,"oak, pin",Manhattan,40.82781347,-73.94973427
91-32 VANDERVEER STREET,Fair,malus species,crabapple,Queens,40.72174262,-73.74588911
992 ST JOHN'S PLACE,Fair,platanus acerifolia,london planetree,Brooklyn,40.67137473,-73.94563444
101-24 QUEENS BOULEVARD,Fair,syringa reticulata,japanese tree lilac,Queens,40.72628397,-73.85208429
1251 TAYLOR AVENUE,Fair,fraxinus pennsylvanica,"ash, green",Bronx,40.83110796,-73.8652359
143-69 225 STREET,Fair,gleditsia triacanthos,honeylocust,Queens,40.66515156,-73.7525569
8803 14 AVENUE,Fair,pyrus calleryana,"pear, callery",Brooklyn,40.60860223,-74.01600513
179 PEMBROKE STREET,Good,quercus palustris,"oak, pin",Brooklyn,40.57920849,-73.93701203
984 EAST   84 STREET,Fair,platanus acerifolia,london planetree,Brooklyn,40.63614699,-73.90899538
41-10 54 STREET,Good,quercus palustris,"oak, pin",Queens,40.74521435,-73.91045958
160 RICHMOND TERRACE,Poor,platanus acerifolia,london planetree,Staten Island,40.64616927,-74.07838787
1585 BROADWAY,Fair,pyrus calleryana,"pear, callery",Manhattan,40.76023451,-73.98514242
61-14 173 STREET,Fair,acer platanoides,"maple, norway",Queens,40.73762001,-73.79645221
14-28 140 STREET,Good,acer platanoides,"maple, norway",Queens,40.7859614,-73.82906808
138 44 232 STREET,Fair,acer platanoides,"maple, norway",Queens,40.6695377,-73.74131162
871 5 AVENUE,Fair,ginkgo biloba,ginkgo,Brooklyn,40.65195175,-74.00318581
11304 85 AVENUE,Fair,acer platanoides,"maple, norway",Queens,40.70147877,-73.83728761
84-05 112 STREET,Fair,acer platanoides,"maple, norway",Queens,40.70201599,-73.83870007
3002 AVENUE P,Good,acer platanoides,"maple, norway",Brooklyn,40.61352427,-73.94284695
2-12 SEAMAN AVENUE,Fair,zelkova serrata,"zelkova, japanese",Manhattan,40.86633481,-73.92788216
157-50 87 STREET,Good,acer platanoides,"maple, norway",Queens,40.66087917,-73.84610194
539 1 STREET,Fair,platanus acerifolia,london planetree,Brooklyn,40.67013308,-73.97426146
145-19 223 STREET,Good,tilia cordata,"linden, little leaf",Queens,40.66310282,-73.75588422
1230 YORK AVENUE,Good,zelkova serrata,"zelkova, japanese",Manhattan,40.7628897,-73.95662756
642 EAST   81 STREET,Fair,platanus acerifolia,london planetree,Brooklyn,40.63842993,-73.91522207
38-08 BELL BOULEVARD,Fair,tilia tomentosa,"linden, silver",Queens,40.76636485,-73.77245857
85 SILVER LAKE ROAD,Fair,pyrus calleryana,"pear, callery",Staten Island,40.63224442,-74.09378065
118 HALLISTER STREET,Fair,acer saccharinum,"maple, silver",Staten Island,40.52701984,-74.21866908
25 SHERMAN STREET,Good,platanus acerifolia,london planetree,Brooklyn,40.6576067,-73.9780795
1269 EAST   59 STREET,Good,acer rubrum,"maple, red",Brooklyn,40.62269374,-73.91859578
7201 4 AVENUE,Poor,tilia americana,"linden, american",Brooklyn,40.6327522,-74.02426858
1870 CROTONA AVENUE,Fair,platanus acerifolia,london planetree,Bronx,40.84389943,-73.89240727
3525 PUTNAM PLACE,Fair,quercus palustris,"oak, pin",Bronx,40.87970323,-73.87523745
110-15 65 AVENUE,Good,quercus palustris,"oak, pin",Queens,40.73239449,-73.84632285
79-02 25 AVENUE,Fair,platanus acerifolia,london planetree,Queens,40.76276516,-73.88937971
701 ST ANN'S AVENUE,Fair,ulmus americana,"elm, american",Bronx,40.81836745,-73.91097895
896 CENTRAL AVENUE,Fair,pyrus calleryana,"pear, callery",Queens,40.60918062,-73.74670293
1121 76 STREET,Good,quercus bicolor,"oak, swamp white",Brooklyn,40.62204398,-74.01191261
1000 TELLER AVENUE,Fair,quercus palustris,"oak, pin",Bronx,40.82794085,-73.91437357
155-23 FOCH BOULEVARD,Fair,platanus acerifolia,london planetree,Queens,40.68226708,-73.78780571
363 HAROLD STREET,Fair,pyrus calleryana,"pear, callery",Staten Island,40.60123835,-74.13351868
10 NEWEL STREET,Fair,quercus palustris,"oak, pin",Brooklyn,40.72333635,-73.94653006
2809 MORRIS AVENUE,Good,acer platanoides,"maple, norway",Bronx,40.86986573,-73.89393445
58-35 UTOPIA PARKWAY,Fair,styphnolobium japonicum,japanese pagoda tree,Queens,40.74083311,-73.79280124
1946 1 AVENUE,Fair,gleditsia triacanthos,honeylocust,Manhattan,40.78617266,-73.94257597
402 BEACH  145 STREET,Fair,gleditsia triacanthos,honeylocust,Queens,40.57368396,-73.86242202
213-18 64 AVENUE,Good,liquidambar styraciflua,sweetgum,Queens,40.74529395,-73.76321231
350 CENTRAL PARK WEST,Poor,pyrus calleryana,"pear, callery",Manhattan,40.79089992,-73.96525495
115-04 229 STREET,Good,pyrus calleryana,"pear, callery",Queens,40.69757383,-73.72975992
5805 CLEARVIEW EXPRESSWAY,Fair,acer pseudoplatanus,"maple, sycamore",Queens,40.74660747,-73.77213267
2572 EAST    6 STREET,Fair,platanus acerifolia,london planetree,Brooklyn,40.58741334,-73.96396748
995 EAST  167 STREET,Fair,ginkgo biloba,ginkgo,Bronx,40.82681157,-73.89026329
6524 78 STREET,Fair,platanus acerifolia,london planetree,Queens,40.71678719,-73.87535844
350 EAST   35 STREET,Fair,gleditsia triacanthos,honeylocust,Manhattan,40.744829,-73.9739475
2938 YATES AVENUE,Good,tilia tomentosa,"linden, silver",Bronx,40.86842863,-73.85464974
64-72 83 PLACE,Fair,platanus acerifolia,london planetree,Queens,40.71960763,-73.86935026
188-17 JORDAN AVENUE,Poor,acer saccharinum,"maple, silver",Queens,40.70104409,-73.7665324
1269 HOE AVENUE,Fair,pyrus calleryana,"pear, callery",Bronx,40.83016345,-73.89087928
502 HAMPTON AVENUE,Good,fraxinus pennsylvanica,"ash, green",Brooklyn,40.57968675,-73.94945662
4118 DE REIMER AVENUE,Fair,gleditsia triacanthos,honeylocust,Bronx,40.89380183,-73.84304165
1921 WALTON AVENUE,Good,gleditsia triacanthos,honeylocust,Bronx,40.85046806,-73.90899133
80-30 161 STREET,Poor,acer platanoides,"maple, norway",Queens,40.72051791,-73.80629539
51-02 111 STREET,Fair,malus species,crabapple,Queens,40.74473986,-73.8521985
1471 TELLER AVENUE,Fair,acer platanoides,"maple, norway",Bronx,40.83907471,-73.90889849
129 PATCHEN AVENUE,Fair,gleditsia triacanthos,honeylocust,Brooklyn,40.68732798,-73.92693634
120 82 DRIVE,Good,quercus rubra,"oak, northern red",Queens,40.71094942,-73.82865807
102 PRALL AVENUE,Good,acer rubrum,"maple, red",Staten Island,40.52915827,-74.1908442
1320 8 AVENUE,Fair,tilia cordata,"linden, little leaf",Brooklyn,40.66317369,-73.98137935
196-35 45 AVENUE,Poor,acer platanoides,"maple, norway",Queens,40.75623233,-73.78444787
486 WEST   47 STREET,Fair,tilia cordata,"linden, little leaf",Manhattan,40.7625161,-73.99249154
165 WEST   20 STREET,Fair,pyrus calleryana,"pear, callery",Manhattan,40.74176325,-73.99588607
206-39 WHITEHALL TERRACE,Fair,pyrus calleryana,"pear, callery",Queens,40.72198637,-73.75969829
128 HART STREET,Fair,acer platanoides,"maple, norway",Brooklyn,40.69339929,-73.94671634
3-31 cresthaven lane,Good,pyrus calleryana,"pear, callery",Queens,40.79737127,-73.81657469
391 10 STREET,Good,gleditsia triacanthos,honeylocust,Brooklyn,40.66823847,-73.98607491
210 EAST   22 STREET,Fair,pyrus calleryana,"pear, callery",Manhattan,40.73794962,-73.98314106
453 CARROLL STREET,Fair,tilia tomentosa,"linden, silver",Brooklyn,40.67744458,-73.98722306
820 PRESIDENT STREET,Fair,quercus palustris,"oak, pin",Brooklyn,40.67365489,-73.97546779
181 CROWN STREET,Fair,platanus acerifolia,london planetree,Brooklyn,40.66650944,-73.95473652
5709 6 AVENUE,Fair,ginkgo biloba,ginkgo,Brooklyn,40.6397341,-74.01230491
470 CONVENT AVENUE,Poor,gleditsia triacanthos,honeylocust,Manhattan,40.82815637,-73.94339611
97-22 108 STREET,Fair,zelkova serrata,"zelkova, japanese",Queens,40.68866741,-73.8362263
23 PRESTON AVENUE,Fair,acer rubrum,"maple, red",Staten Island,40.54097293,-74.16546253
739 PENNSYLVANIA AVENUE,Good,gleditsia triacanthos,honeylocust,Brooklyn,40.65943756,-73.89125948
1244 62 STREET,Fair,gleditsia triacanthos,honeylocust,Brooklyn,40.62840702,-74.00091506
162 BEACH  135 STREET,Fair,platanus acerifolia,london planetree,Queens,40.57300153,-73.85219336
161 BARCLAY AVENUE,Fair,fraxinus pennsylvanica,"ash, green",Staten Island,40.53890058,-74.17473604
58-28 208 STREET,Poor,acer platanoides,"maple, norway",Queens,40.74705488,-73.76938468
5108 OCEAN VIEW AVENUE,Fair,pyrus calleryana,"pear, callery",Brooklyn,40.57993622,-74.01009431
88-29 179 PLACE,Poor,acer platanoides,"maple, norway",Queens,40.71240476,-73.78340646
350 EAST   52 STREET,Fair,ginkgo biloba,ginkgo,Manhattan,40.75561116,-73.96639229
85-09 67 AVENUE,Good,quercus palustris,"oak, pin",Queens,40.71736753,-73.86197392
90-19 102 STREET,Fair,quercus palustris,"oak, pin",Queens,40.69227383,-73.84397764
20 LLEWELLYN PLACE,Good,picea species,"spruce, other",Staten Island,40.62854239,-74.12976536
114-27 121 STREET,Good,ginkgo biloba,ginkgo,Queens,40.67878976,-73.81846916
22 WEST   15 STREET,Fair,gleditsia triacanthos,honeylocust,Manhattan,40.73708336,-73.99407491
2158 STORY AVENUE,Fair,pyrus calleryana,"pear, callery",Bronx,40.82526872,-73.85085978
114-19 135 AVENUE,Fair,pyrus calleryana,"pear, callery",Queens,40.67140636,-73.82560535
53-23 CLEARVIEW EXPRESSWAY,Fair,platanus acerifolia,london planetree,Queens,40.74974768,-73.77363055
6067 68 ROAD,Fair,acer platanoides,"maple, norway",Queens,40.70424049,-73.89720234
125 CENTER DRIVE,Fair,acer palmatum,"maple, japanese",Queens,40.77370308,-73.75031226
186 WATCHOGUE ROAD,Fair,ginkgo biloba,ginkgo,Staten Island,40.61565174,-74.13547452
1845 EAST   32 STREET,Fair,acer platanoides          crimson king,"maple, norway-cr kng",Brooklyn,40.61037843,-73.93699702
337 GLEN AVENUE,Fair,pyrus calleryana,"pear, callery",Staten Island,40.63306246,-74.09023301
240 BENNETT AVENUE,Fair,pyrus calleryana,"pear, callery",Staten Island,40.53664707,-74.18354078
1734 EAST   46 STREET,Poor,acer platanoides,"maple, norway",Brooklyn,40.61810141,-73.930715
774 HANCOCK STREET,Fair,platanus acerifolia,london planetree,Brooklyn,40.68545178,-73.92458029
20 LAUREL HILL TERRACE,Fair,platanus acerifolia,london planetree,Manhattan,40.84887106,-73.92914087
500 WEST  175 STREET,Poor,platanus acerifolia,london planetree,Manhattan,40.84432867,-73.93393825
107-11 112 STREET,Fair,acer platanoides,"maple, norway",Queens,40.68238497,-73.82892616
4508 BEACH CHANNEL DRIVE,Fair,platanus acerifolia,london planetree,Queens,40.59560402,-73.77677813
264 WEST   22 STREET,Good,ginkgo biloba,ginkgo,Manhattan,40.74415123,-73.99785996
275 NOEL STREET,Good,pyrus calleryana,"pear, callery",Staten Island,40.52971007,-74.16982332
116-45 140 STREET,Good,ginkgo biloba,ginkgo,Queens,40.67936032,-73.80162704
8004 215 STREET,Good,platanus acerifolia,london planetree,Queens,40.73385809,-73.75607243
319 WEST   48 STREET,Poor,gleditsia triacanthos,honeylocust,Manhattan,40.76137664,-73.98780257
3604 BEDFORD AVENUE,Fair,acer platanoides,"maple, norway",Brooklyn,40.61467469,-73.94943734
1561 HENDRICKSON STREET,Fair,platanus acerifolia,london planetree,Brooklyn,40.61977004,-73.93507543
207-15 39 AVENUE,Fair,acer saccharinum,"maple, silver",Queens,40.76325878,-73.77859877
525 SYCAMORE STREET,Fair,acer rubrum,"maple, red",Staten Island,40.53697098,-74.16736299
135 EAST   22 STREET,Good,pyrus calleryana,"pear, callery",Manhattan,40.7387184,-73.98492349
131-21 130 STREET,Good,zelkova serrata,"zelkova, japanese",Queens,40.67091906,-73.80911427
42-02 114 STREET,Good,acer saccharinum,"maple, silver",Queens,40.75107982,-73.85187404
509 BEACH 63 STREET,Fair,pyrus calleryana,"pear, callery",Queens,40.59544147,-73.79256465
248-01 87 AVENUE,Fair,acer platanoides,"maple, norway",Queens,40.7303008,-73.71760859
