status,spc_latin,spc_common,address,borough,latitude,longitude
Good,acer platanoides,norway maple,2253 LYON AVENUE,Bronx,40.83600004,-73.850525
Good,quercus shumardii,schumard's oak,253 OSGOOD AVENUE,Staten Island,40.61570253,-74.07787425
Good,acer platanoides,norway maple,254-031 84 DRIVE,Queens,40.73518241,-73.71156232
Fair,koelreuteria paniculata,golden raintree,245 WESTERVELT AVENUE,Staten Island,40.64195141,-74.08319842
Good,acer platanoides 'crimson king',crimson king maple,1307 MASON AVENUE,Staten Island,40.57230983,-74.10021057
Poor,acer rubrum,red maple,1335 MORRIS AVENUE,Bronx,40.83659516,-73.91223094
Good,tilia cordata,littleleaf linden,45 WEST CASTOR PLACE,Staten Island,40.54459777,-74.20154014
Good,platanus x acerifolia,london planetree,1126 EAST 72 STREET,Brooklyn,40.62692058,-73.91589262
Good,tilia americana,american linden,96 VERMONT AVENUE,Brooklyn,40.68304007,-73.8956844
Fair,tilia americana,american linden,1101 MANOR AVENUE,Bronx,40.8264207,-73.87612319
Good,zelkova serrata,japanese zelkova,114-057 222 STREET,Queens,40.69999426,-73.73551557
Fair,platanus x acerifolia,london planetree,538 84 STREET,Brooklyn,40.62217108,-74.02432028
Fair,picea abies,norway spruce,533 BEACH 66 STREET,Queens,40.59608048,-73.79555647
Good,gleditsia triacanthos var. inermis,honeylocust,1475 THIERIOT AVENUE,Bronx,40.83726715,-73.86546593
Good,zelkova serrata,japanese zelkova,568 NEW LOTS AVENUE,Brooklyn,40.66416835,-73.88764889
Good,cornus alternifolia,pagoda dogwood,673 LIBERTY AVENUE,Brooklyn,40.67615105,-73.88503311
Good,zelkova serrata,japanese zelkova,337 MEEHAN AVENUE,Queens,40.60034839,-73.73885348
Good,acer saccharinum,silver maple,186 NOEL STREET,Staten Island,40.53069574,-74.16727609
Good,platanus x acerifolia,london planetree,191-053 115 AVENUE,Queens,40.69645724,-73.75979743
Good,gleditsia triacanthos var. inermis,honeylocust,438 BEDFORD AVENUE,Brooklyn,40.7089572,-73.96421176
Good,quercus palustris,pin oak,150 VAN NAME AVENUE,Staten Island,40.63280063,-74.15355528
Good,tilia americana,american linden,651 BERGEN STREET,Brooklyn,40.67932754,-73.96751974
Good,platanus x acerifolia,london planetree,356 TURNEUR AVENUE,Bronx,40.81466333,-73.84585524
Good,platanus x acerifolia,london planetree,78 MASON STREET,Staten Island,40.60120217,-74.0950727
Good,morus,mulberry,39-012 47 STREET,Queens,40.74883558,-73.91666874
Good,tilia cordata,littleleaf linden,73-011 170 STREET,Queens,40.72823997,-73.79941613
Good,ginkgo biloba,ginkgo,940 FLUSHING AVENUE,Brooklyn,40.70254789,-73.93410113
Good,liquidambar styraciflua,sweetgum,133 PEARE PLACE,Staten Island,40.5266872,-74.16500205
Fair,ginkgo biloba,ginkgo,156-017 71 AVENUE,Queens,40.73033825,-73.81195581
Good,magnolia,magnolia,146 HAMDEN AVENUE,Staten Island,40.58089276,-74.10442305
Good,pyrus calleryana,callery pear,25 WINSTON STREET,Staten Island,40.56343475,-74.18178258
Good,quercus robur,english oak,202-011 23 AVENUE,Queens,40.77703042,-73.78966141
Fair,pyrus calleryana,callery pear,40 WOODVALE LOOP,Staten Island,40.51518941,-74.20522706
Good,platanus x acerifolia,london planetree,54 FEATHERBED LANE,Bronx,40.84565282,-73.9162734
Good,quercus palustris,pin oak,671 MONROE STREET,Brooklyn,40.6879121,-73.92973846
Good,platanus x acerifolia,london planetree,119-014 130 STREET,Queens,40.67453976,-73.80849471
Good,ostrya virginiana,american hophornbeam,142 ARNOLD STREET,Staten Island,40.63809988,-74.09305707
Good,acer campestre,hedge maple,325 CORBIN AVENUE,Staten Island,40.56340079,-74.14936404
Good,quercus rubra,northern red oak,2387 WALTON AVENUE,Bronx,40.86068392,-73.90145623
Good,prunus cerasifera,purple-leaf plum,34-008 210 STREET,Queens,40.76946241,-73.7777064
Good,platanus x acerifolia,london planetree,943 UNION STREET,Brooklyn,40.67309755,-73.97181357
Fair,prunus cerasifera,purple-leaf plum,38-022 150 STREET,Queens,40.76417135,-73.81473874
Fair,acer platanoides,norway maple,247 AMBER STREET,Staten Island,40.56800091,-74.13652745
Good,quercus bicolor,swamp white oak,183 EVERGREEN AVENUE,Brooklyn,40.6974252,-73.92901426
Good,tilia cordata,littleleaf linden,48-002 65 PLACE,Queens,40.73827655,-73.89996818
Good,quercus palustris,pin oak,903 DAWSON STREET,Bronx,40.82019157,-73.89794174
Good,platanus x acerifolia,london planetree,70 OCEAN PARKWAY SOUTHBOUND ROADBED,Brooklyn,40.6489165,-73.97566207
Good,liquidambar styraciflua,sweetgum,86 BAYVIEW LANE,Staten Island,40.51604076,-74.20389498
Good,tilia cordata,littleleaf linden,811 NEW LOTS AVENUE,Brooklyn,40.6672788,-73.8804273
Good,ulmus americana,american elm,64-018 BEACH CHANNEL DRIVE,Queens,40.59313628,-73.79414581
Good,styphnolobium japonicum,sophora,195 GREEN STREET,Brooklyn,40.7338941,-73.95351267
Good,acer rubrum,red maple,193 NIPPON AVENUE,Staten Island,40.53929079,-74.19244831
Good,koelreuteria paniculata,golden raintree,254-023 87 AVENUE,Queens,40.73121036,-73.71112662
Good,eucommia ulmoides,hardy rubber tree,281 PLEASANT AVENUE,Manhattan,40.79452597,-73.93389416
Good,platanus x acerifolia,london planetree,51-026 HILLYER STREET,Queens,40.73636184,-73.88576294
Good,quercus palustris,pin oak,51 PARK HILL CIRCLE,Staten Island,40.61696434,-74.07700727
Good,acer saccharinum,silver maple,179-002 69 AVENUE,Queens,40.73313156,-73.7918182
Fair,pyrus calleryana,callery pear,80-037 230 STREET,Queens,40.73583082,-73.74085066
Good,acer platanoides,norway maple,2033 EAST 37 STREET,Brooklyn,40.60960449,-73.9298466
Good,pyrus calleryana,callery pear,1976 HYLAN BOULEVARD,Staten Island,40.58150312,-74.09790406
Poor,zelkova serrata,japanese zelkova,105 PAGE AVENUE,Staten Island,40.52156344,-74.23517988
Good,pyrus calleryana,callery pear,142 SOUNDVIEW AVENUE,Bronx,40.80825256,-73.85298881
Fair,pyrus calleryana,callery pear,290 BAY 17 STREET,Brooklyn,40.60169822,-74.00971198
Good,gleditsia triacanthos var. inermis,honeylocust,1976 NOSTRAND AVENUE,Brooklyn,40.63736328,-73.9482229
Good,quercus palustris,pin oak,89-021 AUBREY AVENUE,Queens,40.71141581,-73.86195011
Good,quercus palustris,pin oak,195 ASCAN AVENUE,Queens,40.71281773,-73.84414752
Good,acer saccharinum,silver maple,288 KRAMER AVENUE,Staten Island,40.54183963,-74.21501735
Good,gleditsia triacanthos var. inermis,honeylocust,38-018 219 STREET,Queens,40.76733955,-73.76474994
Good,pyrus calleryana,callery pear,154-034 58 ROAD,Queens,40.74138113,-73.81343764
Good,parrotia persica,persian ironwood,31 MILLER AVENUE,Brooklyn,40.68063856,-73.89348612
Good,quercus palustris,pin oak,959 BUSHWICK AVENUE,Brooklyn,40.69240259,-73.92313327
Good,platanus x acerifolia,london planetree,111 RIEGELMAN STREET,Staten Island,40.62379549,-74.14339835
Good,platanus x acerifolia,london planetree,111-046 203 STREET,Queens,40.70349923,-73.75332135
Fair,gleditsia triacanthos var. inermis,honeylocust,450 WEST 58 STREET,Manhattan,40.76929447,-73.98705351
Fair,acer rubrum,red maple,131 HOPPING AVENUE,Staten Island,40.50815504,-74.25361046
Good,platanus x acerifolia,london planetree,669 EAST 48 STREET,Brooklyn,40.64523061,-73.93157557
Good,quercus palustris,pin oak,3155 GRACE AVENUE,Bronx,40.87449006,-73.83723181
